66.50k,141.64,,,,81,1   81,1   81
-17.63,88.42,-15.63,88.42,-14.73,88.12,-14.73,87.52
-14.43,87.52,-14.43,86.72,-14.33,86.72,-14.33,86.42
-14.03,86.42,-14.03,86.72,-13.87,86.72,-13.29,86.68
-9.46,84.51,-3.05,80.51,-0.75,80.39,-0.15,80.49
-0.15,80.62,0.0,80.62,0.15,80.62,0.15,80.49
0.25,80.49,0.5,79.59,6.83,78.98,7.03,78.98
9.87,78.82,10.07,78.82,10.52,78.69,11.48,78.69
12.68,76.57,13.22,76.59,14.69,76.56,15.73,77.04
16.8,76.82,17.72,76.55,18.57,75.88,21.47,76.2
26.06,75.95,27.49,75.2,29.84,75.4,30.71,75.94
41.31,75.96,47.6,75.45,48.02,75.11,52.31,74.9
53.69,75.17,54.54,75.43,58.55,75.2,61.28,74.65
63.29,74.63,67.51,74.19,69.98,74.45,70.74,74.63
71.32,73.93,72.68,73.53,75.68,73.43,82.1,72.83
84.1,72.53,86.6,72.03,89.1,71.23,91.6,71.33
94.1,71.93,95.06,73.78,98.9,74.44,99.67,75.16
102.45,75.62,103.88,76.56,104.0,76.58,104.76,77.09
106.23,77.45,107.07,79.35,109.36,80.52,115.34,80.49
119.01,85.52,119.19,85.66,119.19,86.06,119.25,86.06
119.31,86.06,119.31,85.83,119.77,85.94,120.27,85.94
121.27,85.94
66.51k,7.531,,,,59,1   59,1   59
-15.75,86.72,-14.75,86.72,-14.65,86.72,-14.65,86.42
-14.35,86.42,-14.35,86.72,-14.25,86.72,-13.34,86.5
-10.02,84.51,-5.07,81.43,-4.37,80.53,-0.6,80.35
0.0,80.45,0.4,80.45,0.74,79.3,4.36,79.15
8.92,78.73,9.97,78.75,10.93,77.02,12.42,77.07
16.11,77.45,19.87,77.03,22.5,76.31,23.89,76.63
25.99,76.63,27.4,76.58,28.67,75.88,31.95,75.4
34.71,75.72,42.25,75.75,45.68,75.52,46.97,74.99
53.13,74.91,54.11,75.51,59.73,75.15,64.1,74.81
