’f–Ê,lm,rm,r
66.50k,,,0.035
66.51k,,,0.035
66.52k,,,0.035
66.53k,,,0.035
66.54k,,,0.035
66.55k,,,0.035
66.56k,,,0.035
66.57k,,,0.035
66.58k,,,0.035
66.59k,,,0.035
66.60k,,,0.035
66.61k,,,0.035
66.62k,,,0.035
66.63k,,,0.035
66.64k,,,0.035
66.65k,,,0.035
66.66k,,,0.035
66.67k,,,0.035
66.68k,,,0.035
66.69k,,,0.035
66.70k,,,0.035
66.71k,,,0.035
66.72k,,,0.035
66.73k,,,0.035
66.74k,,,0.035
66.75k,,,0.035
66.76k,,,0.035
66.77k,,,0.035
66.78k,,,0.035
66.79k,,,0.035
66.80k,,,0.035
66.81k,,,0.035
66.82k,,,0.035
66.83k,,,0.035
66.84k,,,0.035
66.85k,,,0.035
66.86k,,,0.035
66.87k,,,0.035
66.88k,,,0.035
66.89k,,,0.035
66.90k,,,0.035
66.91k,,,0.035
66.92k,,,0.035
66.93k,,,0.035
66.94k,,,0.035
66.95k,,,0.035
66.96k,,,0.035
66.97k,,,0.035
66.98k,,,0.035
66.99k,,,0.035
67.00k,,,0.035
67.01k,,,0.035
67.02k,,,0.035
67.03k,,,0.035
67.04k,,,0.035
67.05k,,,0.035
67.06k,,,0.035
67.07k,,,0.035
67.08k,,,0.035
67.09k,,,0.035
67.10k,,,0.035
67.11k,,,0.035
67.12k,,,0.035
67.13k,,,0.035
67.14k,,,0.035
67.15k,,,0.035
67.16k,,,0.035
67.17k,,,0.035
67.18k,,,0.035
67.19k,,,0.035
67.20k,,,0.035
67.21k,,,0.035
67.22k,,,0.035
67.23k,,,0.035
67.24k,,,0.035
67.25k,,,0.035
67.26k,,,0.035
67.27k,,,0.035
67.28k,,,0.035
67.29k,,,0.035
67.30k,,,0.035
67.31k,,,0.035
67.32k,,,0.035
67.33k,,,0.035
67.34k,,,0.035
67.35k,,,0.035
67.36k,,,0.035
67.37k,,,0.035
67.38k,,,0.035
67.39k,,,0.035
67.40k,,,0.035
67.41k,,,0.035
67.42k,,,0.035
67.43k,,,0.035
67.44k,,,0.035
67.45k,,,0.035
67.46k,,,0.035
67.47k,,,0.035
67.48k,,,0.035
67.49k,,,0.035
67.50k,,,0.035
67.51k,,,0.035
67.52k,,,0.035
67.53k,,,0.035
67.54k,,,0.035
67.55k,,,0.035
67.56k,,,0.035
67.57k,,,0.035
67.58k,,,0.035
67.59k,,,0.035
67.60k,,,0.035
67.61k,,,0.035
67.62k,,,0.035
67.63k,,,0.035
67.64k,,,0.035
67.65k,,,0.035
67.66k,,,0.035
67.67k,,,0.035
67.68k,,,0.035
67.69k,,,0.035
67.70k,,,0.035
67.71k,,,0.035
67.72k,,,0.035
67.73k,,,0.035
67.74k,,,0.035
67.75k,,,0.035
67.76k,,,0.035
67.77k,,,0.035
67.78k,,,0.035
67.79k,,,0.035
67.80k,,,0.035
67.81k,,,0.035
67.82k,,,0.035
67.83k,,,0.035
67.84k,,,0.035
67.85k,,,0.035
67.86k,,,0.035
67.87k,,,0.035
67.88k,,,0.035
67.89k,,,0.035
67.90k,,,0.035
67.91k,,,0.035
67.92k,,,0.035
67.93k,,,0.035
67.94k,,,0.035
67.95k,,,0.035
67.96k,,,0.035
67.97k,,,0.035
67.98k,,,0.035
67.99k,,,0.035
68.00k,,,0.035
68.10k,,,0.035
68.15k,,,0.035
68.20k,,,0.035
68.25k,,,0.035
No.0,,,0.035
No.1,,,0.035
No.2,,,0.035
No.3,,,0.035
No.4,,,0.035
No.5,,,0.035
68.4kN,,,0.035
No.6,,,0.035
No.7,,,0.035
No.8,,,0.035
No.9,,,0.035
No.10,,,0.035
No.11,,,0.035
No.12,,,0.035
No.13,,,0.035
No.14,,,0.035
No.15,,,0.035
68.6kN,,,0.035
No.16,,,0.035
No.17,,,0.035
No.18,,,0.035
No.19,,,0.035
No.20,,,0.035
No.21,,,0.035
No.22,,,0.035
No.23,,,0.035
No.24,,,0.035
No.25,,,0.035
68.8kN,,,0.035
No.26,,,0.035
No.27,,,0.035
No.28,,,0.035
No.29,,,0.035
No.30,,,0.035
No.31,,,0.035
No.32,,,0.035
No.33,,,0.035
No.34,,,0.035
69.0kN,,,0.035
No.35,,,0.035
No.36,,,0.035
No.37,,,0.035
No.38,,,0.035
No.39,,,0.035
No.40,,,0.035
No.41,,,0.035
No.42,,,0.035
No.42+14.5,,,0.035
No.43,,,0.035
No.44,,,0.035
69.2kN,,,0.035
No.45,,,0.035
No.46,,,0.035
No.47,,,0.035
No.48,,,0.035
No.49,,,0.035
No.50,,,0.035
No.51,,,0.035
No.52,,,0.035
No.53,,,0.035
No.54,,,0.035
69.4kN,,,0.035
No.55,,,0.035
No.56,,,0.035
No.57,,,0.035
No.58,,,0.035
No.59,,,0.035
No.60,,,0.035
No.61,,,0.035
No.62,,,0.035
No.63,,,0.035
No.64,,,0.035
69.6kN,,,0.035
No.65,,,0.035
No.66,,,0.035
No.67,,,0.035
No.68,,,0.035
No.69,,,0.035
No.70,,,0.035
No.71,,,0.035
No.72,,,0.035
No.73,,,0.035
No.74,,,0.035
69.8kN,,,0.035
No.75,,,0.035
70.00k,,,0.035
70.20k,,,0.035
70.40k,,,0.035
70.60k,,,0.035
70.80k,,,0.035
71.00k,,,0.035
71.20k,,,0.035
71.40k,,,0.035
71.60k,,,0.035
71.80k,,,0.035
72.00k,,,0.035
72.20k,,,0.035
72.40k,,,0.035
72.60k,,,0.035
72.80k,,,0.035
73.00k,,,0.035
73.20k,,,0.035
73.40k,,,0.035
73.60k,,,0.035
73.80k,,,0.035
74.00k,,,0.035
74.20k,,,0.035
74.40k,,,0.035
74.60k,,,0.035
74.80k,,,0.035
75.00k,,,0.035
